Title,Catàleg de Videojocs XML,,,,,,,,
Total Points,10,,,,,,,,
,,,Insuficient,Suficient,Bé,Excel·lent,,,
Criteria Title,Criteria Description,Max Points,0,1,2,3,,,
Estructura i declaració XML,"Declaració XML, estructura jeràrquica i comentaris",1,Falta declaració o estructura plana sense jerarquia,Declaració incompleta o jerarquia de només 2 nivells. Cap comentari o trivials,Declaració completa. Jerarquia de 3 nivells però poc consistent. 1-2 comentaris,Declaració completa amb versió i codificació. Jerarquia clara amb 3+ nivells. Mínim 3 comentaris descriptius,,,
Contingut dels videojocs,15-20 videojocs amb tots els camps requerits i DLCs per a 3+ videojocs,1.5,Menys de 10 videojocs o camps majoritàriament buits. Cap DLC,10-14 videojocs o molts camps buits. 1-2 videojocs amb DLCs,15-20 videojocs però alguns camps buits. 3 videojocs amb DLCs incomplets,15-20 videojocs complets. 3+ videojocs amb DLCs ben estructurats,,,
Ús d'atributs,Identificadors únics (id) i atribut moneda i altres atributs coherents,0.5,Atributs absents o ús incorrecte generalitzat,Només IDs o només moneda. Inconsistències notables,IDs i moneda presents però alguna inconsistència o duplicat,Tots els IDs únics i correctes. Moneda a tots els preus. Atributs addicionals coherents,,,
Namespaces i atributs reservats,Dos namespaces amb col·lisió resolta i xml:lang i xml:base,1,Namespaces absents o incorrectes. Cap atribut reservat,Namespaces declarats però prefixos inconsistents. Falta xml:lang o xml:base,Namespaces correctes però col·lisió no evident o xml:lang només a un lloc,Namespaces correctes amb col·lisió resolta. xml:lang a arrel i descripcions bilingües. xml:base funcional,,,
Metadades del catàleg,Secció cat:info amb títol i autor i data i descripcions bilingües,0.5,Secció de metadades absent o buida,Falten 1-2 camps o estructura incorrecta,Tots els camps però descripcions només en un idioma,Tots els camps presents. Descripcions bilingües amb xml:lang,,,
Validació DTD,DTD complet que valida el document amb cardinalitat i tipus d'atributs correctes,1.25,DTD absent o completament incorrecte,DTD present però no valida o errors significatius,Valida però 1-2 errors de cardinalitat o tipus d'atribut,Valida sense errors. Cardinalitat correcta. Tipus d'atributs adequats,,,
Validació XSD,XSD amb tipus de dades i restriccions numèriques i patrons i enumeracions,1.25,XSD absent o completament incorrecte,XSD present però no valida o només tipus bàsics,Valida però falten restriccions avançades,Valida sense errors. Restriccions i patrons i enumeracions presents,,,
Visualització CSS,CSS funcional amb layout modern i variables i selectors variats i pseudoelements,2,No es visualitza o CSS absent,Visualització parcial. Layout bàsic. Només selectors d'element,Visualització correcta. Layout amb Grid/Flexbox. Variables o mides relatives,Visualització correcta. Layout responsive. Variables CSS. Pseudoelements amb attr(). :hover,,,
Elements XSLT,Plantilles i iteració i ordenació i condicionals i variables globals,0.5,Plantilla única sense iteració ni condicionals,Només iteració bàsica. Un tipus de condicional. Sense variables,Majoria d'elements però falta xsl:sort. Variables amb càlculs simples,Tots els elements presents i funcionals. Variables calculen estadístiques. AVT,,,
HTML generat,HTML5 complet amb capçalera i estadístiques i catàleg. Només descripcions en català,0.5,HTML no generat o completament incorrecte,HTML generat però estructura incompleta o sense filtrar idioma,HTML complet però falta una secció o mostra ambdós idiomes,HTML5 vàlid amb les 3 seccions. Estadístiques correctes. Filtra per xml:lang=ca,,,
